author_id,name,n_papers,h_corpus,cites_corpus,h_openalex,works_openalex,cites_openalex,institution,country,top_sleeve,distinct_sleeves,fwd_citers_total,top_paper_title,top_paper_cites
A5101886641,Georgios Georgiadis,20,14,1160,22,76,1638,European Central Bank,DE,macro_regime,4,155,Determinants of Global Spillovers from US Monetary Policy,352
A5112602964,C. F. Sirmans,22,14,1093,59,337,11197,Florida State University,US,other,4,130,"Depreciation of housing capital, maintenance, and house price inflation: Estimates from a repeat sales model",326
A5056612876,Geoff Kenny,19,14,1094,24,120,2270,European Central Bank,US,macro_regime,4,203,Combining expert forecasts: Can anything beat the simple average?,325
A5087591195,Alexandros Kostakis,21,14,1180,18,56,1659,University of Liverpool,GB,macro_regime,7,502,Cross-country effects in herding behaviour: Evidence from four south European markets,290
A5034004236,Elisa Luciano,20,14,1111,25,178,3770,Collegio Carlo Alberto,RU,cross_asset,4,132,A multivariate jump-driven financial asset model,242
A5003388550,Richard Paap,21,14,3594,27,188,6011,Erasmus University Rotterdam,NL,other,5,309,Generalized reduced rank tests using the singular value decomposition,2752
A5084097008,Jeremy Greenwood,14,14,5172,46,253,17105,National Bureau of Economic Research,US,macro_regime,5,505,"Financial Development, Growth, and the Distribution of Income",2480
A5044997393,John R. Nofsinger,17,14,4274,39,217,8772,University of Alaska Anchorage,US,equity_xs,5,946,Herding and Feedback Trading by Institutional and Individual Investors,1660
A5031538852,Ilias Tsiakas,19,14,1098,15,45,1190,University of Guelph,GB,other,9,383,An Economic Evaluation of Empirical Exchange Rate Models,284
A5070738404,Joel F. Houston,14,14,4636,35,109,9764,University of Florida,US,other,5,451,"Creditor rights, information sharing, and bank risk taking",965
A5067623007,Andrea Beltratti,16,14,1775,28,148,3187,Bocconi University,IT,equity_xs,6,349,The Credit Crisis Around the Globe: Why Did Some Banks Perform Better?,374
A5028404773,Liyan Yang,24,14,1307,30,165,4069,University of Toronto,CA,microstructure,5,340,"Good disclosure, bad disclosure",349
A5113934415,Luca Gambetti,20,14,2026,27,121,3651,Universitat Autònoma de Barcelona,ES,macro_regime,4,513,Macroeconomic Forecasting and Structural Change,364
A5058106143,S. Borağan Aruoba,15,14,1670,31,126,5509,"University of Maryland, College Park",US,macro_regime,2,733,Comparing solution methods for dynamic equilibrium economies,422
A5056676965,Stefan Ruenzi,22,14,1477,24,102,3059,University of Mannheim,DE,other,4,310,Tournaments in Mutual-Fund Families,315
A5100690583,Kenneth A. Kim,15,14,2407,37,93,6545,Tongji University,US,microstructure,5,449,"Trading Performance, Disposition Effect, Overconfidence, Representativeness Bias, and Experience of Emerging Market Inve",623
A5015690091,Virginie Coudert,18,14,1155,26,149,2393,EconomiX,FR,other,5,218,Does risk aversion drive financial crises? Testing the predictive power of empirical indicators,217
A5056800495,Piet Eichholtz,21,14,1187,36,259,6561,Maastricht School of Management,US,other,4,167,Corporate Governance and Performance: The REIT Effect,196
A5079273943,Eduardo Borensztein,15,14,2192,43,221,12878,Inter-American Development Bank,US,macro_regime,5,257,Sovereign Ceilings 'Lite'? The Impact of Sovereign Ratings on Corporate Ratings in Emerging Market Economies,278
A5001211242,Susan Athey,16,14,9560,64,364,23260,Stanford Medicine,US,other,2,321,Generalized random forests,1805
A5071365493,Andreas Hackethal,24,14,2043,37,236,5734,Goethe University Frankfurt,,equity_xs,6,301,The Anatomy of Bank Diversification,558
A5047082746,Avinash Dixit,16,14,6100,68,255,28970,,,macro_regime,4,450,Entry and Exit Decisions under Uncertainty,2398
A5103964436,Allan H. Meltzer,16,14,3666,52,614,17984,Carnegie Mellon University,,macro_regime,3,534,"A Theory of Ambiguity, Credibility, and Inflation under Discretion and Asymmetric Information",1309
A5067518819,Guido Baltussen,32,14,1644,19,56,1753,National Trust,NL,other,6,276,Deal or No Deal? Decision Making under Risk in a Large-Payoff Game Show,508
A5112010863,Giovanni Barone‐Adesi,21,14,2205,22,124,3626,Università della Svizzera italiana,,vol_options,7,687,Efficient Analytic Approximation of American Option Values,1091
A5007989416,Alexander Chudík,17,14,4150,32,197,7288,Federal Reserve Bank of Dallas,DE,other,3,233,Common Correlated Effects Estimation of Heterogeneous Dynamic Panel Data Models with Weakly Exogenous Regressors,2133
A5060654339,Oreste Tristani,24,14,1928,25,114,2890,European Central Bank,DE,macro_regime,4,493,A joint econometric model of macroeconomic and term-structure dynamics,403
A5016567938,W. Scott Frame,18,14,1562,32,147,4927,World Bank,,other,8,153,The Effect of Credit Scoring on Small-Business Lending,401
A5052767956,John B. Shoven,15,14,1436,47,320,11179,National Bureau of Economic Research,US,other,7,253,The bankruptcy decision,403
A5015928584,Menachem Brenner,18,14,1085,25,100,2573,New York University,US,vol_options,6,368,Asset pricing and ambiguity: Empirical evidence,218
A5016686653,John V. Duca,18,14,1395,31,196,4469,Federal Reserve Bank of Dallas,US,macro_regime,4,349,Economic policy uncertainty and the credit channel: aggregate and bank level U.S. evidence over several decades,531
A5041121989,Christos Pantzalis,21,14,1893,37,137,4895,University of South Florida,US,equity_xs,5,281,Political elections and the resolution of uncertainty: The international evidence,306
A5103950632,Tuomas A. Peltonen,16,14,1249,24,71,2344,European Central Bank,DE,cross_asset,5,231,Assessing systemic risks and predicting systemic events,252
A5005827573,Fernando Zapatero,22,14,1453,25,117,2920,Boston University,MX,equity_xs,5,350,Asset prices in an exchange economy with habit formation,254
A5103540629,Enrico Perotti,18,14,1446,39,206,7261,Centre for Economic Policy Research,GB,other,6,98,Finance and Inequality: Channels and Evidence,561
A5112185446,Rajna Gibson,20,14,1735,22,99,2787,University of Geneva,BE,cross_asset,7,514,Stochastic Convenience Yield and the Pricing of Oil Contingent Claims,1097
A5088083059,Fousseni Chabi-Yo,27,14,771,17,68,1269,University of Massachusetts Amherst,CA,equity_xs,5,240,State Dependence Can Explain the Risk Aversion Puzzle,137
A5101591636,Pradeep K. Yadav,21,14,659,21,101,1491,Universitat de Barcelona,DE,microstructure,5,232,The information content of implied volatilities and model-free volatility expectations: Evidence from options written on,123
A5100320635,Yuanyuan Zhang,20,14,706,31,230,3451,American University of Sharjah,GB,other,7,308,The information content of implied volatilities and model-free volatility expectations: Evidence from options written on,123
A5113524600,Robert H. Jennings,17,14,1378,30,72,4158,Indiana University Bloomington,US,microstructure,3,412,An Equilibrium Model of Asset Trading with Sequential Information Arrival,457
A5010133074,Carol L. Osler,20,14,907,25,94,1957,Brandeis University,US,microstructure,5,254,Methodical Madness: Technical Analysis and the Irrationality of Exchange-rate Forecasts,161
A5017948369,Michael J. Dueker,19,14,1049,23,154,2529,Federal Reserve Bank of St. Louis,US,macro_regime,7,283,Strengthening the Case for the Yield Curve as a Predictor of U.S. Recessions,238
A5037530250,Dale F. Gray,17,14,896,23,103,1810,International Monetary Fund,US,rates_credit,6,191,Measuring and Analyzing Sovereign Risk with Contingent Claims,143
A5060188956,Andrea Zaghini,16,14,1182,30,119,3567,Bank of Italy,IT,macro_regime,4,180,Excess Money Growth and Inflation Dynamics,165
A5033311808,Matteo Luciani,20,14,692,17,68,1086,Solvay (Belgium),BE,macro_regime,2,147,Do Euro Area Countries Respond Asymmetrically to the Common Monetary Policy,189
A5083521992,Bernd Scherer,27,14,741,19,116,1310,Ecole des Hautes Etudes Commerciales du Nord,GB,cross_asset,8,305,Portfolio Resampling: Review and Critique,141
A5050676766,Dennis Y. Chung,21,14,1422,20,55,1883,Simon Fraser University,HK,microstructure,4,377,Investor Protection and Firm Liquidity,278
A5111916024,Marc Flandreau,15,14,1215,32,233,3330,Centre for Economic Policy Research,GB,other,5,127,The making of global finance 1880-1913,203
A5053875563,Dean Croushore,16,14,1882,27,181,3615,University of Richmond,US,macro_regime,1,514,A real-time data set for macroeconomists,749
A5013616417,Matteo Barigozzi,24,14,867,23,160,2693,University of Bologna,GB,macro_regime,5,198,Do Euro Area Countries Respond Asymmetrically to the Common Monetary Policy,189
A5072253763,Raffaella Giacomini,16,14,3566,23,90,2753,Federal Reserve Bank of Chicago,US,other,4,352,Tests of Conditional Predictive Ability,1619
A5024993858,Juan J. Dolado,16,14,6180,46,271,17652,Universidad Carlos III de Madrid,GB,macro_regime,4,756,Error‐correction Mechanism Tests for Cointegration in a Single‐equation Framework,2422
A5085656370,Peter K. Friz,21,14,1145,35,275,5376,Weierstrass Institute for Applied Analysis and Stochastics,DE,vol_options,2,265,Pricing under rough volatility,514
A5069511913,Zhenhua Liu,18,14,1117,22,67,2157,China University of Mining and Technology,CN,commodities,6,394,A news-based climate policy uncertainty index for China,355
A5044550274,Muhammad Tariq Majeed,18,14,1820,51,264,8600,European University of Lefke,PK,other,4,324,Heterogeneous effects of energy efficiency and renewable energy on carbon emissions: Evidence from developing countries,494
A5019704910,Jeong‐Bon Kim,18,14,2329,59,327,14689,Simon Fraser University,CA,equity_xs,7,221,CEO Overconfidence and Stock Price Crash Risk,630
A5085138018,Robert McNown,15,14,2266,23,87,3664,University of Colorado Boulder,US,other,3,460,Bootstrapping the autoregressive distributed lag test for cointegration,550
A5090928007,Mark J. Kamstra,22,14,2149,24,88,2620,York University,CA,other,6,340,Winter Blues: A SAD Stock Market Cycle,969
A5003679157,Carl R. Chen,22,14,1329,32,126,4398,University of Dayton,US,equity_xs,5,527,Economic policy uncertainty and corporate investment: Evidence from China,648
A5000578396,Muhammad Usman,19,14,2048,64,180,13431,Wuhan University,PK,other,2,212,"Dynamic relationship between technological innovations, financial development, renewable energy, and ecological footprin",427
A5006567376,Alastair R. Hall,16,14,2197,28,143,3519,North Carolina State University,,other,3,186,Generalized Method of Moments,855
A5085712427,Andrea Ugolini,17,14,1325,22,138,3484,University of Bologna,BR,commodities,8,534,Systemic risk in European sovereign debt markets: A CoVaR-copula approach,249
A5111887496,Stefan Trück,24,14,1597,27,112,2833,Macquarie University,AU,cross_asset,8,384,Modeling the Price Dynamics of Co2 Emission Allowances,675
A5003710494,Mark F. J. Steel,21,14,1708,42,259,9887,University of Warwick,NL,other,3,118,Stochastic frontier models: a bayesian perspective,479
A5037635190,Antonio Fatás,14,14,3689,32,82,5614,Institut National de Statistique et d'Economie Appliquée,MA,macro_regime,1,257,The Case for Restricting Fiscal Policy Discretion,758
A5044881380,Matteo Bonato,24,14,1135,35,168,3255,University of Milan,ZA,vol_options,7,634,Geopolitical risks and stock market dynamics of the BRICS,404
A5078637517,Yong Tan,21,14,1282,34,214,4655,University of Bradford,GB,other,4,200,The impacts of risk and competition on bank profitability in China,454
A5089972977,Farrukh Shahzad,14,14,1197,37,138,5330,Guangdong University of Petrochemical Technology,CN,other,5,194,Asymmetric inter-linkages between green technology innovation and consumption-based carbon emissions in BRICS countries ,302
A5024426779,Sudharshan Reddy Paramati,14,14,1862,39,80,8408,American University of the Middle East,CN,macro_regime,4,285,The effect of foreign direct investment and stock market growth on clean energy use across a panel of emerging market ec,411
A5048732165,Bernard Fingleton,15,14,1521,38,190,5998,University of Cambridge,GB,other,3,88,Recessionary Shocks and Regional Employment: Evidence on the Resilience of U.K. Regions,484
A5041075735,Basel Awartani,19,14,1533,23,63,2629,King Fahd University of Petroleum and Minerals,GB,commodities,7,707,The directional volatility connectedness between crude oil and equity markets: New evidence from implied volatility inde,394
A5073929889,Christos Kollias,15,14,1447,30,144,3366,University of Thessaly,GR,other,5,538,Geopolitical risks and the oil-stock nexus over 1899–2016,369
A5077873688,Benjamin F. Hobbs,17,14,1801,71,452,16471,Johns Hopkins University,US,commodities,6,154,Linear Complementarity Models of Nash-Cournot Competition in Bilateral and POOLCO Power Markets,668
A5073272621,Dil Bahadur Rahut,14,14,1305,58,358,11054,Asian Institute of Management,JP,equity_xs,3,65,Response to climate risks among smallholder farmers in Malawi: A multivariate probit assessment of the role of informati,298
A5082581465,Charles Sutcliffe,24,14,774,26,237,2396,ICMA Centre,GB,other,8,233,Optimal vs naïve diversification in cryptocurrencies,116
A5082587173,Yue Kuen Kwok,34,14,1344,27,255,3500,Hong Kong University of Science and Technology,HK,vol_options,6,299,Mathematical models of financial derivatives,525
A5079006638,Debojyoti Das,14,14,1722,24,72,2744,Woxsen School of Business,IN,macro_regime,4,882,COVID-19 and oil market crash: Revisiting the safe haven property of gold and Bitcoin,272
A5080939045,Rabin K. Jana,16,14,1058,28,97,2505,Indian Institute of Management Raipur,IN,commodities,4,426,COVID-19 and oil market crash: Revisiting the safe haven property of gold and Bitcoin,272
A5066521546,Stephen Chan,18,14,1071,19,141,1790,American University of Sharjah,AE,other,5,500,GARCH Modelling of Cryptocurrencies,336
A5016998289,Anis Jarboui,28,14,712,38,347,5029,University of Sfax,FR,other,8,240,How the cryptocurrency market has performed during COVID 19? A multifractal analysis,264
A5112602028,Craig M. Lewis,20,14,1773,27,85,3797,Vanderbilt University,US,other,8,615,Stock market volatility and the information content of stock index options,727
A5064535836,Alexandros Iosifidis,20,14,1182,44,482,8194,Tampere University of Applied Sciences,FI,other,2,306,Forecasting Stock Prices from the Limit Order Book Using Convolutional Neural Networks,330
A5078406379,Bangzhu Zhu,16,14,1591,53,182,9927,Guangxi University,CN,other,5,221,Carbon price forecasting with a novel hybrid ARIMA and least squares support vector machines methodology,413
A5066867809,Andrew Vivian,28,14,942,20,69,1449,Loughborough University,GB,other,7,388,How connected is the carbon market to energy and financial markets? A systematic analysis of spillovers and dynamics,262
A5074444034,Samet Günay,26,14,822,21,97,1586,Corvinus University of Budapest,KW,macro_regime,7,284,Co-movements and spillovers of oil and renewable firms under extreme conditions: New evidence from negative WTI prices d,256
A5089150146,Rabindra Nepal,22,14,1242,42,278,6332,University of Wollongong,AU,other,6,307,"Time and frequency connectedness among oil shocks, electricity and clean energy markets",228
A5114043482,Manel Youssef,17,14,846,16,22,1082,Centre de Recherches et des Technologies des Eaux,SA,macro_regime,5,340,Dynamic connectedness between stock markets in the presence of the COVID-19 pandemic: does economic policy uncertainty m,225
A5075140481,Ming‐Hsiang Chen,23,14,1172,36,148,5862,Nanjing Xiaozhuang University,TW,other,4,303,The impact of the SARS outbreak on Taiwanese hotel stock performance: An event-study approach,512
A5032237355,Jouchi Nakajima,20,14,1572,18,98,2153,Hitotsubashi University,JP,macro_regime,6,554,Stochastic volatility with leverage: Fast and efficient likelihood inference,488
A5037608294,Christian Dreger,17,14,1320,27,485,3588,Goethe University Frankfurt,DE,macro_regime,4,109,Energy consumption and economic growth: New insights into the cointegration relationship,389
A5017698205,Bernd Schwaab,21,14,1016,17,91,1431,European Central Bank,DE,macro_regime,5,316,Evaluating the impact of unconventional monetary policy measures: Empirical evidence from the ECB׳s Securities Markets P,304
A5006173014,Joop Huij,28,14,1000,19,62,1443,Vrije Universiteit Amsterdam,NL,equity_xs,7,324,Residual Momentum,144
A5081474828,Linh Pham,15,14,1552,38,110,5463,University of Central Oklahoma,US,other,6,500,Is it risky to go green? A volatility analysis of the green bond market,292
A5043965931,Christopher Gan,26,14,888,45,340,7279,Lincoln University,NZ,other,6,216,The impact of the COVID-19 lockdown on stock market performance: evidence from Vietnam,215
A5019892975,Richard J. Sweeney,19,14,1860,28,146,3791,Richard Wolf (Germany),US,equity_xs,5,532,Beating the Foreign Exchange Market,443
A5109878323,Jeremy Smith,14,14,1379,34,201,4648,University of Liverpool,GB,macro_regime,3,229,A Simple Explanation of the Forecast Combination Puzzle,364
A5050898158,Subrata Kumar Mitra,16,14,1205,26,115,2370,Institute of Management Technology,IN,commodities,5,395,Time-frequency contained co-movement of crude oil and world food prices: A wavelet-based analysis,185
A5030727327,Liyan Han,31,14,925,24,141,1921,Institute of Mathematical Sciences,CN,cross_asset,7,328,The impact of COVID-19 pandemic on transmission of monetary policy to financial markets,173
A5030014041,Catherine Pattillo,15,14,1652,41,205,7299,International Monetary Fund,,macro_regime,5,68,What are the Channels Through Which External Debt Affects Growth?,403
A5047648051,Peter Wänke,23,14,936,44,378,7240,Brazilian Center for Research in Energy and Materials,BR,other,4,72,Ecological efficiency assessment under the construction of low-carbon city: a perspective of green technology innovation,163
A5082562719,Adrian Blundell‐Wignall,22,14,1174,25,155,2191,The University of Sydney,FR,rates_credit,7,191,Thinking beyond Basel III: Necessary Solutions for Capital and Liquidity,317
A5060803297,Dirk Schoenmaker,24,14,1264,39,389,6137,Centre for Economic Policy Research,GB,macro_regime,4,168,Should the Functions of Monetary Policy and Banking Supervision be Separated,463
A5061913836,Stavros Stavroyiannis,24,14,832,26,101,2064,University of Peloponnese,GR,cross_asset,6,298,An Advanced CNN-LSTM Model for Cryptocurrency Forecasting,157
A5087616647,Gareth W. Peters,45,14,842,37,513,5922,"University of California, Santa Barbara",US,cross_asset,9,95,Trends in crypto-currencies and blockchain technologies: A monetary theory and regulation perspective,246
A5082490403,Matteo Foglia,23,14,799,20,56,1446,Azienda Ospedaliero-Universitaria di Modena,IT,vol_options,7,315,Feverish sentiment and global equity markets during the COVID-19 pandemic,149
A5113877968,John M. Maheu,19,14,1282,24,96,2288,McMaster University,CA,macro_regime,6,367,Conditional Jump Dynamics in Stock Market Returns,371
A5032676950,T.C.E. Cheng,16,14,1021,100,1457,50399,Xi'an University of Science and Technology,HK,other,6,49,Evolutionary food quality and location strategies for restaurants in competitive online-to-offline food ordering and del,173
A5020202399,Daniela Gabor,16,14,1000,30,83,4279,University of the West of England,GB,other,5,307,The (impossible) repo trinity: the political economy of repo markets,203
A5021938714,Sami Vähämaa,17,14,1214,27,85,3569,University of Vaasa,FI,vol_options,5,218,US presidential elections and implied volatility: The role of political uncertainty,237
A5080659289,Miguel A. León‐Ledesma,14,14,1185,26,157,3418,University of Kent,GB,macro_regime,3,109,Smooth breaks and non-linear mean reversion: Post-Bretton Woods real exchange rates,265
A5052445904,Michael Benzaquen,32,14,442,19,233,1697,Laboratoire d'Hydrodynamique de l'École polytechnique,FR,other,3,86,Dissecting cross-impact on stock markets: an empirical analysis,69
A5020988784,Clifford A. Ball,15,14,2001,21,35,2693,Vanderbilt University,,vol_options,7,548,On Jumps in Common Stock Prices and Their Impact on Call Option Pricing,454
A5083427713,Timotheos Angelidis,23,14,888,19,60,931,University of Peloponnese,GR,cross_asset,6,218,The Use of GARCH Models in VaR Estimation,316
A5053222184,Waqas Hanif,16,14,834,16,46,1094,COMSATS University Islamabad,CN,cross_asset,6,235,Nonlinear dependence and connectedness between clean/renewable energy sector equity and European emission allowance pric,130
A5003924639,Andrew Marshall,21,14,758,33,161,4656,University of Strathclyde,GB,other,8,102,Corporate governance reform and risk-taking: Evidence from a quasi-natural experiment in an emerging market,143
A5043777442,Théophilos Papadimitriou,25,14,814,21,165,1627,Democritus University of Thrace,GR,other,8,154,Forecasting the U.S. Real House Price Index,134
A5058836069,Roberto Casarin,28,14,818,25,249,2350,Ca' Foscari University of Venice,IT,macro_regime,5,179,Bayesian Graphical Models for STructural Vector Autoregressive Processes,203
A5064980274,Olivier Guéant,18,14,1050,21,116,12343,Université Paris Cité,FR,microstructure,5,358,Dealing with the inventory risk: a solution to the market making problem,243
A5082984650,Hong Miao,24,14,945,18,85,1511,Colorado State University,US,commodities,8,362,Influential factors in crude oil price forecasting,176
A5046644947,Keith Pılbeam,20,14,760,20,207,1679,"St George's, University of London",GB,macro_regime,7,157,Exchange rate volatility and international trade: International evidence from the MINT countries,186
A5033731409,Wolfgang Lemke,17,14,982,17,64,942,European Central Bank,DE,macro_regime,3,189,The Janus-Headed Salvation: Sovereign and Bank Credit Risk Premia during 2008-09,247
A5005389838,Niels Haldrup,16,14,1219,20,94,1524,Aarhus University,DK,other,3,110,The effects of additive outliers on tests for unit roots and cointegration,271
A5027547292,Jan Kallsen,16,14,901,27,103,2660,Christian-Albrechts-Universität zu Kiel,DE,vol_options,4,215,A Non‐Gaussian Ornstein–Uhlenbeck Process for Electricity Spot Price Modeling and Derivatives Pricing,258
A5004697570,Ronald Huisman,24,14,1535,21,107,2806,Utrecht University,NL,equity_xs,8,305,Hourly Electricity Prices in Day-Ahead Markets,258
A5040734431,Javier Estrada,30,14,1006,24,177,2367,Pearson (United States),ES,other,5,185,Systematic risk in emerging markets: the D-CAPM,293
A5045248892,Bin Mo,21,14,1003,23,81,1987,Guangzhou University,CN,macro_regime,6,434,The time-varying linkages between global oil market and China's commodity sectors: Evidence from DCC-GJR-GARCH analyses,107
A5020151207,Claudia Czado,24,14,1192,43,282,9768,Data:Lab Munich (Germany),DE,other,5,202,Bayesian inference for multivariate copulas using pair-copula constructions.,221
A5057306259,Leopoldo Catania,17,14,827,21,87,1424,Aarhus University,DK,cross_asset,6,325,Forecasting risk with Markov-switching GARCH models:A large-scale performance study,151
A5102762269,Carlos Thomas,16,14,1343,26,104,2252,Bank of Spain,ES,macro_regime,5,131,Search and matching frictions and optimal monetary policy,237
A5026824769,W. Kip Viscusi,14,14,1201,86,694,29075,Vanderbilt University,US,other,4,38,Private Values of Risk Tradeoffs at Superfund Sites: Housing Market Evidence on Learning about Risk,292
A5064825020,Jan‐Egbert Sturm,15,14,1794,50,581,13141,Ifo Institute for Economic Research,,macro_regime,3,218,Political and institutional determinants of fiscal policy in the European Community,284
A5067228319,Archil Gulisashvili,19,14,598,17,102,1019,Ohio University,US,vol_options,2,151,Analytically Tractable Stochastic Stock Price Models,83
A5102707661,Yan Zeng,16,14,1127,30,70,2717,Sun Yat-sen University,CN,cross_asset,5,274,Optimal time-consistent investment and reinsurance strategies for insurers under Heston’s SV model,168
A5060945450,Giovanni Urga,26,14,1035,26,181,2510,"City, University of London",GB,other,6,189,"Modelling structural breaks, long memory and stock market volatility: an overview",247
A5048548352,Andreas Karathanasopoulos,24,14,708,18,88,1134,University of London,GB,other,7,164,Forecasting foreign exchange rates with adaptive neural networks using radial-basis functions and Particle Swarm Optimiz,181
A5045641636,Samuel Kwaku Agyei,16,14,588,26,80,2092,University of Cape Coast,GH,other,7,229,COVID‐19 and food prices in sub‐Saharan Africa,103
A5049729226,Mathias Hoffmann,23,14,1077,27,354,2983,Leibniz Centre for Agricultural Landscape Research,DE,macro_regime,6,91,Inflation Dynamics and the Cost Channel of Monetary Transmission 1,239
A5021705232,Matthieu Bussière,16,14,1305,33,159,4141,Banque de France,DE,macro_regime,3,200,"Financial Openness and Growth: Short-Run Gain, Long-Run Pain?",207
A5113640754,Michael J. Artis,16,14,1463,36,208,4281,Springer Nature (Germany),,macro_regime,4,191,Business Cycles for G7 and European Countries,280
A5025258377,Michel van der Wel,27,14,690,15,88,920,Tinbergen Institute,NL,macro_regime,6,200,Analyzing the Term Structure of Interest Rates Using the Dynamic Nelson–Siegel Model With Time-Varying Parameters,183
A5008853967,George Yin,31,14,908,53,653,10992,University of Connecticut,US,macro_regime,5,266,Markowitz's mean-variance portfolio selection with regime switching: from discrete-time models to their continuous-time ,231
A5100452144,Xiaoming Li,31,14,848,19,124,1317,University of Auckland,NZ,macro_regime,8,162,US Economic Policy Uncertainty and Co-Movements between Chinese and US Stock Markets,135
A5079539440,Anders Rahbek,19,14,1125,28,140,3117,University of Copenhagen,DK,other,4,154,ASYMPTOTIC INFERENCE FOR NONSTATIONARY GARCH,224
A5045898015,Kim Hiang Liow,23,14,684,27,125,2196,National University of Singapore,SG,rates_credit,8,265,Dynamics of international spillovers and interaction: Evidence from financial market stress and economic policy uncertai,124
A5100363694,Young Shin Kim,29,14,848,23,160,2022,,,vol_options,8,231,Financial Models with Levy Processes and Volatility Clustering,174
A5007234866,Yong‐Jun Liu,19,14,846,72,269,28410,Xi'an University of Architecture and Technology,CN,cross_asset,3,259,A possibilistic mean-semivariance-entropy model for multi-period portfolio selection with transaction costs,165
A5045209801,Zachary Feinstein,18,14,553,13,114,692,Stevens Institute of Technology,US,cross_asset,4,125,Measures of Systemic Risk,143
A5084789061,Iván Petrella,20,14,697,20,131,1657,Collegio Carlo Alberto,GB,macro_regime,6,172,Tracking the Slowdown in Long-Run GDP Growth,125
A5071742989,Wolfgang Schmid,22,14,693,31,313,3611,European University Viadrina,DE,cross_asset,3,188,Distributional properties of portfolio weights,198
A5025775303,Roberto Golinelli,21,14,1042,22,108,2480,University of Bologna,IT,macro_regime,4,191,Real-time determinants of fiscal policies in the Euro Area,195
A5055695249,Khelifa Mazouz,24,14,611,18,87,1249,Cardiff University,FR,equity_xs,7,193,Does gold offer a better protection against losses in sovereign debt bonds than other metals,144
A5035714277,Kuldeep Shastri,18,14,1129,25,72,2637,University of Pittsburgh,US,microstructure,3,375,The Impact of Options Trading on the Market Quality of the Underlying Security: An Empirical Analysis,234
A5005628088,Berç Rüstem,15,14,715,34,232,4382,Imperial College London,GB,cross_asset,2,227,Worst-Case Value at Risk of Nonlinear Portfolios,149
A5071607165,Zhuo Jin,34,14,585,25,163,1828,Macquarie University,AU,macro_regime,5,117,Insurance fraud detection with unsupervised deep learning,85
A5010958438,Dirk Schiereck,34,14,1074,29,560,4518,Technische Universität Darmstadt,DE,equity_xs,8,174,Explaining M&A Success in European Banks,202
A5080120183,Steve Y. Yang,23,14,730,19,101,1375,Stevens Institute of Technology,US,other,6,198,Twitter financial community sentiment and its predictive relationship to stock market movement,134
A5020969387,Heejin Yang,20,14,681,19,47,970,Dongguk University,KR,equity_xs,3,321,"Investor sentiment, trading behavior and stock returns",119
A5103102426,Thomas Lux,15,14,1059,23,110,2135,Christian-Albrechts-Universität zu Kiel,DE,cross_asset,5,317,The Markov-Switching Multifractal Model of Asset Returns,177
A5013472934,Eduardo Roca,26,14,726,28,203,3109,Griffith University,AU,other,7,174,Short-term and long-term price linkages between the equity markets of Australia and its major trading partners,123
A5049092438,Steven A. Gabriel,18,14,1224,37,188,5247,Norwegian University of Science and Technology,US,commodities,4,228,A Complementarity Model for the European Natural Gas Market,173
A5084505535,Philip Gray,19,14,678,20,71,1497,Department of Finance,AU,equity_xs,6,267,Using extreme value theory to measure value-at-risk for daily electricity spot prices,176
A5040095209,Robert H. Rasche,14,14,1370,34,188,4190,,,macro_regime,6,196,Long-Run Income and Interest Elasticities of Money Demand in the United States,247
A5067694149,Dilip Kumar,41,14,450,17,156,997,Indian Institute of Management Kashipur,IN,vol_options,7,181,Return and volatility transmission between gold and stock sectors: Application of portfolio management and hedging effec,129
A5082255082,Alain Monfort,24,14,893,39,242,8649,National Bureau of Economic Research,FR,macro_regime,6,174,Simulation-based inference: A survey with special reference to panel data models,230
A5000585848,Adam Clements,29,14,992,21,143,1562,Queensland University of Technology,AU,vol_options,7,373,The jump component of S&P 500 volatility and the VIX index,145
A5063892132,Ata Assaf,20,14,600,20,52,1048,University of Balamand,CY,other,6,262,Dynamic connectedness between uncertainty and energy markets: Do investor sentiments matter?,73
A5101445617,Yen‐Hsien Lee,27,14,683,18,80,1132,Chung Yuan Christian University,TW,equity_xs,8,215,Oil sensitivity and its asymmetric impact on the stock market,138
A5035102258,Ahmed Bouteska,27,14,561,20,86,1361,Louisiana State University,TN,equity_xs,5,199,"Loss aversion, overconfidence of investors and their impact on market performance evidence from the US stock markets",75
A5043199039,Eckhard Hein,15,14,771,37,371,5137,Conference Board,US,macro_regime,2,57,"Interest Rate, Debt, Distribution And Capital Accumulation In A Post-Kaleckian Model",151
A5111461105,Fabio Spagnolo,21,14,664,25,107,1718,University of Messina,GB,cross_asset,8,156,Spillovers between Food and Energy Prices and Structural Breaks,103
A5062552598,Rasmus Fatum,19,14,857,22,81,1551,University of Alberta,CA,fx,5,191,Effectiveness of Official Daily Foreign Exchange Market Intervention Operations in Japan,149
A5024212389,Ramzi Benkraiem,23,14,607,33,208,2916,Audencia Business School,FR,macro_regime,8,174,Market reaction to sporting results: The case of European listed football clubs,80
A5086944541,Robiyanto Robiyanto,27,14,544,24,205,1886,Satya Wacana Christian University,ID,other,6,96,The Volatility–Variability Hypotheses Testing and Hedging Effectiveness of Precious Metals for the Indonesian and Malays,58
A5006621250,Andrew Lepone,27,14,544,15,83,689,Macquarie University,AU,microstructure,3,176,Information asymmetry and the cost of equity capital,99
